station,lat,lon,n,date_min,date_max
21FLSEAS_WQX-10SEAS251,30.2575,-85.6325,140,2010-03-23,2017-10-26
21FLSEAS_WQX-30SEAS052,29.188,-83.065333,140,2010-01-04,2018-03-21
CAPECRD_WQX-130,26.694263457,-82.038981195,139,2010-01-05,2022-09-01
21FLSEAS_WQX-10SEAS901,30.2586666,-85.645833,139,2010-03-23,2017-11-29
CAPECRD_WQX-120,26.699010171,-82.063691517,138,2010-01-05,2022-09-01
21FLLEHI_WQX-WQ SITE 11,26.683856,-81.66312,138,2010-02-03,2024-01-18
21FLSEAS_WQX-30SEAS220,29.1485,-83.029166,138,2010-01-04,2018-03-21
21FLLEHI_WQX-WQ SITE 13,26.69974744,-81.578670192,138,2010-01-07,2024-01-18
21FLSEAS_WQX-10SEAS440,30.2628333,-85.641,137,2010-03-23,2017-12-11
21FLSEAS_WQX-30SEAS453,29.215,-83.073166,137,2010-01-04,2018-03-21
CAPECRD_WQX-290,26.6375,-81.9775,136,2010-01-14,2023-06-22
21FLSEAS_WQX-10SEAS520,30.2676666,-85.61,136,2010-03-23,2017-12-11
CAPECRD_WQX-275,26.642097235,-81.945454491,136,2010-02-09,2024-01-09
21FLALTA_WQX-LWR_SANLANDOOFF,28.684185704,-81.396883229,134,2010-10-19,2022-11-16
21FLALTA_WQX-LWR_119VARIETYT,28.6549,-81.40585,134,2010-10-19,2022-12-14
21FLALTA_WQX-LWR_SEMINOLETRA,28.665814796,-81.410884991,134,2010-10-19,2022-11-16
21FLSEAS_WQX-10SEAS441,30.2678333,-85.630333,134,2010-03-23,2017-12-11
21FLALTA_WQX-LWR_MONTGOMERYR,28.6791,-81.40246667,134,2010-10-19,2022-11-16
21FLALTA_WQX-LWR_MERRILLPARK,28.676997479,-81.41463744,133,2010-10-19,2022-11-16
21FLMANA_WQX-UM3,27.494308001,-82.307594,133,2010-01-06,2021-08-24
21FLSEAS_WQX-30SEAS111,29.1611666,-83.047333,133,2010-01-04,2018-02-27
21FLSEAS_WQX-10SEAS462,30.2603333,-85.6135,133,2010-03-23,2017-10-26
CAPECRD_WQX-355,26.61444,-81.97528,132,2010-01-14,2023-06-22
CAPECRD_WQX-430,26.589496829,-81.970846093,132,2010-01-19,2023-02-16
21FLMANA_WQX-MR2,27.342777701,-82.1569444,132,2010-01-06,2021-08-24
21FLMANA_WQX-BR2,27.417166601,-82.468,131,2010-01-12,2021-07-29
21FLLEHI_WQX-WQ SITE 27,26.656732,-81.723475,131,2010-01-07,2024-01-17
21FLALTA_WQX-LWR_NORTHWESTER,28.6541,-81.41055,131,2010-10-19,2022-11-16
CAPECRD_WQX-160,26.67841231,-82.038986994,131,2010-01-05,2023-06-08
21FLMANA_WQX-FC1,27.591070001,-82.55246,131,2010-01-06,2021-08-24
21FLMANA_WQX-UM1,27.514166601,-82.3668333,130,2010-01-06,2021-08-24
21FLMANA_WQX-BR1,27.428000001,-82.4825,130,2010-01-12,2021-07-29
21FLLEHI_WQX-WQ SITE 4,26.708529,-81.66475,130,2010-01-07,2024-01-18
CAPECRD_WQX-590,26.543739057,-82.010728076,129,2010-02-18,2023-02-21
CAPECRD_WQX-110,26.725501793,-81.957075161,129,2010-02-09,2024-01-09
21FLSEAS_WQX-10SEAS910,30.2708333,-85.623166,129,2010-03-23,2017-10-26
CAPECRD_WQX-511,26.5614,-81.96317,128,2012-05-15,2023-02-16
CAPECRD_WQX-315,26.63052883,-81.950825686,128,2010-02-16,2023-06-27
CAPECRD_WQX-129,26.694263457,-82.038694165,127,2010-01-05,2023-06-08
21FLMANA_WQX-TS5,27.420666601,-82.4331666,127,2010-01-12,2021-07-29
21FLMANA_WQX-GC2,27.553586001,-82.389558,127,2010-01-06,2021-08-24
21FLSARA_WQX-CPS-3,27.249206577,-82.38609228,126,2010-01-12,2025-07-07
CAPECRD_WQX-280,26.64139,-81.97111,125,2010-02-11,2023-06-22
21FLDOH_WQX-OKALOOSA203,30.500957501,-86.431131,125,2010-01-05,2012-05-21
21FLDOH_WQX-OKALOOSA204,30.380470101,-86.409551,125,2010-01-05,2012-05-21
CAPECRD_WQX-210,26.662636629,-81.929089534,125,2010-01-07,2023-06-13
21FLDOH_WQX-OKALOOSA202,30.383404001,-86.449205,125,2010-01-05,2012-05-21
21FLDOH_WQX-OKALOOSA323,30.393927701,-86.591669,125,2010-01-05,2012-05-21
21FLDOH_WQX-OKALOOSA355,30.508844401,-86.488699,125,2010-01-05,2012-05-21
21FLDOH_WQX-OKALOOSA199,30.396537101,-86.579237,125,2010-01-05,2012-05-21
21FLDOH_WQX-OKALOOSA198,30.400086901,-86.594014,125,2010-01-05,2012-05-21
21FLDOH_WQX-OKALOOSA197,30.429555501,-86.600463,125,2010-01-05,2012-05-21
21FLDOH_WQX-OKALOOSA194,30.405822601,-86.637851,125,2010-01-05,2012-05-21
21FLDOH_WQX-OKALOOSA200,30.391175401,-86.521662,125,2010-01-05,2012-05-21
21FLDOH_WQX-OKALOOSA325,30.453583301,-86.395827,125,2010-01-05,2012-05-21
21FLMANA_WQX-MC1,27.503660001,-82.40983,125,2011-01-19,2021-05-03
21FLDOH_WQX-OKALOOSA356,30.455363801,-86.587652,125,2010-01-05,2012-05-21
CAPECRD_WQX-300,26.636648422,-81.930610059,124,2010-02-16,2023-06-27
21FLSEAS_WQX-30SEAS053,29.1956666,-83.0705,123,2010-01-04,2018-03-21
21FLMANA_WQX-TS2,27.411200431,-82.482041318,123,2010-01-12,2021-07-29
21FLMANA_WQX-CC1,27.655940001,-82.43223,122,2011-01-19,2021-08-24
21FLSEAS_WQX-10SEAS902,30.2571666,-85.655166,122,2010-01-27,2017-12-11
21FLMANA_WQX-WC1,27.455400001,-82.48528,122,2011-01-13,2021-07-29
21FLSEAS_WQX-30SEAS050,29.1765,-83.054333,121,2010-01-04,2018-03-21
21FLCOLL_WQX-BC15,26.270851211,-81.769537023,121,2010-01-06,2016-02-18
21FLLEHI_WQX-WQ SITE 3,26.672748,-81.598598,120,2010-01-06,2024-01-18
21FLSEAS_WQX-16SEAS354,29.6718333,-85.132333,119,2010-01-04,2017-12-21
21FLSEAS_WQX-10SEAS432,30.2645,-85.664166,119,2010-01-27,2017-09-26
CAPECRD_WQX-550,26.549202647,-82.034217229,118,2010-02-18,2023-02-21
21FLMANA_WQX-TS3,27.388881409,-82.459537854,118,2010-01-12,2021-07-29
21FLMANA_WQX-TS6,27.420272001,-82.425714,117,2010-01-12,2021-07-29
21FLLOX_WQX-66,26.985330201,-80.1618067,117,2010-01-27,2025-06-09
21FLSARA_WQX-MY-C,27.100899987,-82.3331,116,2016-01-19,2025-07-22
21FLSARA_WQX-MY-E,27.044939987,-82.29308,116,2016-01-19,2025-07-22
21FLSARA_WQX-MY-B,27.241271957,-82.31378174,116,2016-01-19,2025-07-22
21FLSARA_WQX-MY-F,27.122499987,-82.34998,116,2016-01-19,2025-07-22
21FLDADE_WQX-BS10,25.918484726,-80.324699048,115,2010-01-04,2018-12-03
21FLCOLL_WQX-COCPALM,26.277800001,-81.778069,115,2010-01-21,2016-02-18
21FLSARA_WQX-MY-A,27.301436883,-82.253381046,115,2016-01-19,2025-07-22
21FLSEAS_WQX-30SEAS520,29.1555,-83.0125,114,2010-01-04,2018-03-22
21FLLEHI_WQX-WQ SITE 2,26.711213,-81.675908,114,2010-02-04,2024-01-18
21FLSARA_WQX-LAB-WEB,27.308309987,-82.46736,113,2016-01-18,2025-07-21
21FLSARA_WQX-BBB-FRUIT,27.337629987,-82.49033,113,2016-01-18,2025-07-21
21FLSARA_WQX-BW-TAIL,27.057829987,-82.40105,113,2016-01-21,2025-07-31
21FLSEAS_WQX-28SEAS223,29.32,-83.184166,113,2010-01-20,2017-12-19
21FLSARA_WQX-PH-SG,27.306269987,-82.51204,112,2016-02-17,2025-07-21
21FLSARA_WQX-LBB-FRUIT,27.338259987,-82.49968,112,2016-01-18,2025-07-21
21FLSARA_WQX-MB-FRUIT,27.337699987,-82.4968,112,2016-02-17,2025-07-21
21FLSARA_WQX-MB-GER,27.326349987,-82.49904,112,2016-02-17,2025-07-21
21FLSARA_WQX-ML,27.269109987,-82.49474,112,2016-02-17,2025-07-21
21FLCOJB_WQX-SW-BT06,30.3034333,-81.4120483,112,2010-10-13,2016-11-03
21FLSARA_WQX-PC-41,27.273765735,-82.530195937,112,2016-01-18,2025-07-21
21FLSEAS_WQX-10SEAS430,30.265,-85.671333,112,2010-01-27,2017-10-10
21FLSARA_WQX-BLOS,27.310299987,-82.5114,112,2016-02-17,2025-07-21
